country,sector,service,type,source
Iceland,Food and Drink,export_wins,exported,export_wins
Switzerland,Mechanical Electrical and Process Engineering,export_wins,exported,export_wins
Italy,Automotive : Manufacturing and Assembly,export_wins,exported,export_wins
China,ICT,export_wins,exported,export_wins
Chile,Mining,export_wins,exported,export_wins
Russia,Electronics and IT Hardware : Electronics and IT Technologies,export_wins,exported,export_wins
China,Food and Drink : Food and Drink Manufacturing,export_wins,exported,export_wins
Pakistan,Food and Drink : Dairy Products,export_wins,exported,export_wins
Qatar,Defence and Security,export_wins,exported,export_wins
Norway,Marine,export_wins,exported,export_wins
Ireland,Software and Computer Services Business to Business (B2B) : Industry Applications,export_wins,exported,export_wins
Suriname,Healthcare and Medical,export_wins,exported,export_wins
Sweden,Financial Services (including Professional Services),export_wins,exported,export_wins
Taiwan,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Germany,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
South Africa,Software and Computer Services Business to Business (B2B) : Biometrics,export_wins,exported,export_wins
Australia,Education and Training,export_wins,exported,export_wins
Singapore,Water,export_wins,exported,export_wins
Germany,"Agriculture, Horticulture and Fisheries",export_wins,exported,export_wins
Poland,Airports,export_wins,exported,export_wins
Norway,Creative and Media,export_wins,exported,export_wins
China,Life Sciences,export_wins,exported,export_wins
Greece,"Metals, Minerals and Materials : Plastics",export_wins,exported,export_wins
Canada,"Creative and Media : Art, Design and Creativity",export_wins,exported,export_wins
China,Biotechnology and Pharmaceuticals : Bio and Pharma Marketing and Sales,export_wins,exported,export_wins
Australia,Business (and Consumer) Services,export_wins,exported,export_wins
Qatar,Construction,export_wins,exported,export_wins
Australia,Advanced Engineering,export_wins,exported,export_wins
Singapore,Marine,export_wins,exported,export_wins
South Korea,Biotechnology and Pharmaceuticals,export_wins,exported,export_wins
Philippines,Creative and Media : Media : Music,export_wins,exported,export_wins
Hungary,Automotive,export_wins,exported,export_wins
South Africa,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
France,Food and Drink,export_wins,exported,export_wins
Rwanda,Airports,export_wins,exported,export_wins
Estonia,Education and Training,export_wins,exported,export_wins
Japan,Environment,export_wins,exported,export_wins
United Arab Emirates,Construction,export_wins,exported,export_wins
Italy,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
United Arab Emirates,Water,export_wins,exported,export_wins
France,"Household Goods, Furniture and Furnishings",export_wins,exported,export_wins
Australia,Leisure and Tourism,export_wins,exported,export_wins
Macao,Airports,export_wins,exported,export_wins
France,Construction,export_wins,exported,export_wins
India,ICT,export_wins,exported,export_wins
Falkland Islands,Construction,export_wins,exported,export_wins
Russia,"Clothing, Footwear and Fashion : Clothing",export_wins,exported,export_wins
Ireland,Education and Training,export_wins,exported,export_wins
Turkey,Oil and Gas,export_wins,exported,export_wins
Sweden,Food and Drink : Brewing,export_wins,exported,export_wins
Russia,Advanced Engineering,export_wins,exported,export_wins
Trinidad and Tobago,"Clothing, Footwear and Fashion : Footwear",export_wins,exported,export_wins
Japan,Advanced Engineering,export_wins,exported,export_wins
Croatia,Healthcare and Medical : Medical Devices and Systems,export_wins,exported,export_wins
Germany,"Giftware, Jewellery and Tableware",export_wins,exported,export_wins
Gabon,Oil and Gas,export_wins,exported,export_wins
Cayman Islands,"Clothing, Footwear and Fashion",export_wins,exported,export_wins
Indonesia,Business (and Consumer) Services : HR Services,export_wins,exported,export_wins
Malta,Automotive : Automotive Retail,export_wins,exported,export_wins
New Zealand,"Metals, Minerals and Materials",export_wins,exported,export_wins
Cameroon,Leisure and Tourism,export_wins,exported,export_wins
Germany,"Clothing, Footwear and Fashion : Clothing",export_wins,exported,export_wins
Jordan,Education and Training,export_wins,exported,export_wins
France,Healthcare and Medical,export_wins,exported,export_wins
China,Food and Drink : Brewing,export_wins,exported,export_wins
Turkey,Creative and Media : Creative and Media Distribution : Film and Video,export_wins,exported,export_wins
Finland,"Textiles, Interior Textiles and Carpets",export_wins,exported,export_wins
Canada,Food and Drink : Beverages and Alcoholic Drinks,export_wins,exported,export_wins
Belgium,Retail,export_wins,exported,export_wins
Morocco,Food and Drink : Pet Food,export_wins,exported,export_wins
Ireland,Environment,export_wins,exported,export_wins
Austria,Software and Computer Services Business to Business (B2B),export_wins,exported,export_wins
Singapore,Financial Services (including Professional Services) : Professional Services : Legal Services,export_wins,exported,export_wins
Australia,"Chemicals : Paint, Coating and Adhesive Products",export_wins,exported,export_wins
