,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,United Nations,,,,,,,,,,,
,,,Population Division,,,,,,,,,,,
,,,Department of Economic and Social Affairs,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,World Urbanization Prospects: The 2018 Revision,,,,,,,,,,,
,,,"File 1: Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,POP/DB/WUP/Rev.2018/1/F01,,,,,,,,,,,
,,,"Copyright © 2018 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,
,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2018). World Urbanization Prospects: The 2018 Revision, Online Edition.",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,x
Index,"Region, subregion, country or area",Note,"Country
code",Urban,Rural,Total,Percentage urban,,,,,,,
252,New Caledonia,,540,   198,   82,   280, 70.7,,,,,,,
253,Papua New Guinea,,598,  1 109,  7 310,  8 418, 13.2,,,,,,,
254,Solomon Islands,,90,   148,   475,   623, 23.7,,,,,,,
255,Vanuatu,,548,   71,   211,   282, 25.3,,,,,,,
256,Micronesia,,954,   366,   166,   532, 68.7,,,,,,,
257,Guam,,316,   157,   9,   166, 94.8,,,,,,,
258,Kiribati,,296,   64,   54,   118, 54.1,,,,,,,
259,Marshall Islands,,584,   41,   12,   53, 77.0,,,,,,,
260,Micronesia (Fed. States of),,583,   24,   82,   106, 22.7,,,,,,,
261,Nauru,,520,   11,0,   11, 100.0,,,,,,,
262,Northern Mariana Islands,,580,   51,   5,   55, 91.6,,,,,,,
263,Palau,,585,   18,   4,   22, 79.9,,,,,,,
264,Polynesia,,957,   307,   384,   692, 44.4,,,,,,,
265,American Samoa,,16,   49,   7,   56, 87.2,,,,,,,
266,Cook Islands,,184,   13,   4,   17, 75.1,,,,,,,
267,French Polynesia,,258,   177,   109,   286, 61.8,,,,,,,
268,Niue,,570,   1,   1,   2, 44.8,,,,,,,
269,Samoa,,882,   36,   162,   198, 18.2,,,,,,,
270,Tokelau,,772,0,   1,   1,0.0,,,,,,,
271,Tonga,,776,   25,   84,   109, 23.1,,,,,,,
272,Tuvalu,,798,   7,   4,   11, 62.4,,,,,,,
273,Wallis and Futuna Islands,,876,0,   12,   12,0.0,,,,,,,
